Locations,FSI
Andorra,66.1
Anguilla,77.5
Antigua and Barbuda,86.9
Aruba,76
Bahamas,84.5
Bahrain,77.8
Barbados,73.9
Belize,75.2
Bermuda,73.1
Bolivia,80.4
Botswana,68.7
British Virgin Islands,68.7
Brunei,84.1
Cayman Islands,72.3
Chile,61.6
China,60.1
Cook Islands,74.6
Costa Rica,68.7
Curacao,74.8
Dominica,77.3
Dominican Republic,71.6
Dubai,83.9
Gambia,76.6
Ghana,61.8
Gibraltar,70.8
Grenada,77.1
Guatemala,73.1
Guernsey,72.5
Hong Kong,71.1
Indonesia,61.5
Isle of Man,63.6
Israel,63.3
Japan,60.5
Jersey,65.5
Kenya,80.1
Labuan,71.9
Lebanon,72
Liberia,79.7
Liechtenstein,78.3
Macao,68.3
Maldives,81.1
Malta,60.5
Marshall Islands,72.9
Mauritius,72.4
Monaco,77.5
Montenegro,63.2
Montserrat,77.5
Nauru,66.7
Netherlands,66
Panama,76.6
Paraguay,84.3
Philippines,65.4
Puerto Rico,77.2
Romania,65.5
Russia,64
Samoa,77.6
San Marino,64
Saudi Arabia,69.9
Seychelles,75.2
Singapore,67.1
St. Kitts and Nevis,76.7
St. Lucia,78.3
St. Vincent and The Grenadines,70
Switzerland,76.5
Taiwan,75.8
Tanzania,73.4
Thailand,79.9
Trinidad and Tobago,65.3
Turkey,68
Turks and Caicos Islands,76.8
Ukraine,69.2
Uruguay,60.8
US Virgin Islands,73.1
Vanuatu,88.6
Venezuela,68.5
